seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12647,2024,KSA.KINGS.CUP,8346,256608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:11:03
12647,2024,KSA.KINGS.CUP,929,256611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:55
12647,2024,KSA.KINGS.CUP,21827,256640,1,0,0,1,0,0,0,1,0,0,4,0,0,0,0,2024-10-13 05:10:56
12647,2024,KSA.KINGS.CUP,21831,256649,1,0,1,0,0,0,0,0,0,0,3,0,0,0,2,2024-10-13 05:10:55
12647,2024,KSA.KINGS.CUP,21834,256662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:54
12647,2024,KSA.KINGS.CUP,21832,256665,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2024-10-13 05:11:02
12647,2024,KSA.KINGS.CUP,2276,256667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:59
12647,2024,KSA.KINGS.CUP,21829,256669,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2024-10-13 05:11:03
12647,2024,KSA.KINGS.CUP,18459,256671,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2024-10-13 05:10:57
12647,2024,KSA.KINGS.CUP,8346,256672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:11:03
12647,2024,KSA.KINGS.CUP,21964,256688,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2024-10-13 05:11:02
12647,2024,KSA.KINGS.CUP,22022,256808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:11:01
12647,2024,KSA.KINGS.CUP,18459,257325,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2024-10-13 05:10:57
12647,2024,KSA.KINGS.CUP,8346,259835,1,0,1,2,0,0,0,0,0,0,2,0,0,0,2,2024-10-13 05:11:03
12647,2024,KSA.KINGS.CUP,21832,260692,1,0,1,1,0,0,0,0,0,0,1,0,0,0,2,2024-10-13 05:11:02
12647,2024,KSA.KINGS.CUP,929,262468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:55
12647,2024,KSA.KINGS.CUP,21834,262499,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2024-10-13 05:10:54
12647,2024,KSA.KINGS.CUP,21834,263283,1,0,1,0,0,0,0,0,0,1,2,1,0,0,0,2024-10-13 05:10:54
12647,2024,KSA.KINGS.CUP,22280,264059,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:11:00
12647,2024,KSA.KINGS.CUP,21834,264060,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:54
12647,2024,KSA.KINGS.CUP,22024,264062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:58
12647,2024,KSA.KINGS.CUP,22023,264515,1,1,2,0,0,0,0,0,0,4,4,1,0,0,0,2024-10-13 05:10:54
12647,2024,KSA.KINGS.CUP,21834,264669,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:54
12647,2024,KSA.KINGS.CUP,21831,264679,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2024-10-13 05:10:55
12647,2024,KSA.KINGS.CUP,22278,264703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:11:07
12647,2024,KSA.KINGS.CUP,22280,265107,1,0,2,4,0,0,0,0,0,1,3,1,0,0,1,2024-10-13 05:11:00
12647,2024,KSA.KINGS.CUP,21833,265112,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:11:06
12647,2024,KSA.KINGS.CUP,21828,266482,1,0,2,0,1,0,0,0,0,0,2,0,0,0,2,2024-10-13 05:11:06
12647,2024,KSA.KINGS.CUP,22021,266799,1,0,0,3,0,0,0,0,0,0,2,0,0,0,2,2024-10-13 05:11:07
12647,2024,KSA.KINGS.CUP,8346,267178,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2024-10-13 05:11:03
12647,2024,KSA.KINGS.CUP,2276,267585,1,0,0,2,0,0,0,0,0,2,4,0,0,0,0,2024-10-13 05:10:59
12647,2024,KSA.KINGS.CUP,21827,268468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:56
12647,2024,KSA.KINGS.CUP,22022,268987,1,0,3,2,0,0,0,1,0,1,1,1,0,0,0,2024-10-13 05:11:01
12647,2024,KSA.KINGS.CUP,18459,269072,1,1,0,0,0,0,0,2,0,0,1,0,0,0,2,2024-10-13 05:10:57
12647,2024,KSA.KINGS.CUP,21827,269480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:56
12647,2024,KSA.KINGS.CUP,18459,269481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:57
12647,2024,KSA.KINGS.CUP,22278,269483,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2024-10-13 05:11:07
12647,2024,KSA.KINGS.CUP,817,269485,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2024-10-13 05:10:57
12647,2024,KSA.KINGS.CUP,21830,269720,1,0,2,2,0,0,0,0,0,0,2,0,0,0,0,2024-10-13 05:11:04
12647,2024,KSA.KINGS.CUP,817,270415,1,0,0,0,0,0,0,0,0,2,3,0,0,0,1,2024-10-13 05:10:57
