seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12726,714873,4,43562299,39',Kallum Higginbotham (Bonnyrigg Rose) Yellow Card at 39',2024-08-18 05:56:17
12726,714873,5,43562381,42',James Stokes (Edinburgh City) Goal at 42',2024-08-18 05:56:17
12726,714873,6,43562936,45',Aaron Arnott (Bonnyrigg Rose) Substitution at 45',2024-08-18 05:56:17
12726,714873,7,43563060,49',Sean Murphy (Bonnyrigg Rose) Red Card at 49',2024-08-18 05:56:17
12726,714873,8,43563411,56',Neil Martyniuk (Bonnyrigg Rose) Yellow Card at 56',2024-08-18 05:56:17
12726,714873,9,43563789,63',Struan Mair (Edinburgh City) Substitution at 63',2024-08-18 05:56:17
12726,714873,10,43563843,65',Connor Young (Edinburgh City) Goal at 65',2024-08-18 05:56:17
12726,714873,11,43564134,69',Dean Watson (Bonnyrigg Rose) Substitution at 69',2024-08-18 05:56:17
12726,714873,12,43564232,72',Connor Young (Edinburgh City) Yellow Card at 72',2024-08-18 05:56:17
12726,714873,13,43564281,74',Jake Rennie (Edinburgh City) Substitution at 74',2024-08-18 05:56:17
12726,714873,14,43564413,78',Neil Martyniuk (Bonnyrigg Rose) Goal at 78',2024-08-18 05:56:17
12726,714873,15,43564486,79',Callum Connelly (Bonnyrigg Rose) Substitution at 79',2024-08-18 05:56:17
12726,714873,16,43564657,82',Quinn Mitchell (Edinburgh City) Yellow Card at 82',2024-08-18 05:56:17
12726,714873,17,43564658,82',Kodi Mckinstray (Edinburgh City) Substitution at 82',2024-08-18 05:56:17
12726,714873,18,43564659,83',Kodi Mckinstray (Edinburgh City) Yellow Card at 83',2024-08-18 05:56:17
12726,714873,19,43565188,90'+7',Callum Connelly (Bonnyrigg Rose) Yellow Card at 97',2024-08-18 05:56:17
12726,714874,0,43781441,15',Jack Murray (Elgin City) Yellow Card at 15',2024-09-18 05:36:13
12726,714874,1,43782052,42',Brogan Walls (Spartans FC) Yellow Card at 42',2024-09-18 05:36:13
12726,714874,2,43782487,45',Kevin Waugh (Spartans FC) Substitution at 45',2024-09-18 05:36:13
12726,714874,3,43782488,45',Jamie Dishington (Spartans FC) Substitution at 45',2024-09-18 05:36:13
12726,714874,4,43782678,61',Mark Gallagher (Elgin City) Yellow Card at 61',2024-09-18 05:36:13
12726,714874,5,43782743,65',Callum Booth (Spartans FC) Substitution at 65',2024-09-18 05:36:13
12726,714874,6,43782869,69',Kian Lesley (Elgin City) Substitution at 69',2024-09-18 05:36:13
12726,714874,7,43782910,71',Mark Stowe (Spartans FC) Substitution at 71',2024-09-18 05:36:13
12726,714874,8,43782911,71',Hamish Ritchie (Spartans FC) Substitution at 71',2024-09-18 05:36:13
12726,714874,9,43782941,74',Hamish Ritchie (Spartans FC) Goal at 74',2024-09-18 05:36:13
12726,714874,10,43782971,75',Jack Murray (Elgin City) Goal at 75',2024-09-18 05:36:13
12726,714874,11,43783014,76',Dylan Gavin (Elgin City) Substitution at 76',2024-09-18 05:36:13
12726,714874,12,43783015,76',Oliver Mcdonald (Elgin City) Substitution at 76',2024-09-18 05:36:13
12726,714874,13,43783068,79',Lewis Hyde (Elgin City) Substitution at 79',2024-09-18 05:36:13
12726,714874,14,43783235,85',Kieran Watson (Spartans FC) Yellow Card at 85',2024-09-18 05:36:13
12726,714875,0,43562001,29',Sebastian Ross (Peterhead) Goal at 29',2024-08-18 05:56:17
12726,714875,1,43562151,34',Tomas Brindley (Stranraer) Yellow Card at 34',2024-08-18 05:56:17
12726,714875,2,43562551,44',Ryan Strachan (Peterhead) Substitution at 44',2024-08-18 05:56:17
12726,714875,3,43562951,45',Ryan Edgar (Stranraer) Substitution at 45',2024-08-18 05:56:17
12726,714875,4,43563260,54',Matthew Grant (Stranraer) Yellow Card at 54',2024-08-18 05:56:17
12726,714875,5,43564081,68',Jack Brown (Peterhead) Substitution at 68',2024-08-18 05:56:17
12726,714875,6,43564082,68',Grant Gallagher (Stranraer) Substitution at 68',2024-08-18 05:56:17
12726,714875,7,43564458,77',Rory McAllister (Peterhead) Substitution at 77',2024-08-18 05:56:17
12726,714875,8,43564459,77',Robert Ward (Peterhead) Substitution at 77',2024-08-18 05:56:17
12726,714875,9,43564460,78',Peter Pawlett (Peterhead) Yellow Card at 78',2024-08-18 05:56:17
12726,714875,10,43564533,79',Paul Woods (Stranraer) Substitution at 79',2024-08-18 05:56:17
12726,714875,11,43564534,80',Scott Robertson (Stranraer) Substitution at 80',2024-08-18 05:56:17
12726,714875,12,43564887,89',Craig Ross (Stranraer) Yellow Card at 89',2024-08-18 05:56:17
12726,714876,0,43604617,4',Lee Currie (Bonnyrigg Rose) Yellow Card at 4',2024-08-25 05:40:01
12726,714876,1,43604807,9',Liam Scullion (Clyde) Goal at 9',2024-08-25 05:40:01
12726,714876,2,43605120,19',Neil Martyniuk (Bonnyrigg Rose) Yellow Card at 19',2024-08-25 05:40:01
12726,714876,3,43606353,49',Logan Dunachie (Clyde) Yellow Card at 49',2024-08-25 05:40:01
12726,714876,4,43606390,51',Logan Dunachie (Clyde) Red Card at 51',2024-08-25 05:40:01
12726,714876,5,43606391,51',Angus Mailer (Bonnyrigg Rose) Yellow Card at 51',2024-08-25 05:40:01
12726,714876,6,43606487,52',Bradley Barrett (Bonnyrigg Rose) Goal at 52',2024-08-25 05:40:01
12726,714876,7,43606657,55',Martin Rennie (Clyde) Substitution at 55',2024-08-25 05:40:01
12726,714876,8,43606769,57',Liam Scullion (Clyde) Yellow Card at 57',2024-08-25 05:40:01
12726,714876,9,43606937,61',Angus Mailer (Bonnyrigg Rose) Goal at 61',2024-08-25 05:40:01
12726,714876,10,43607165,64',Jordan Allan (Clyde) Substitution at 64',2024-08-25 05:40:01
12726,714876,11,43607166,64',Marley Redfern (Clyde) Substitution at 64',2024-08-25 05:40:01
12726,714876,12,43607339,69',Cameron Ross (Bonnyrigg Rose) Yellow Card at 69',2024-08-25 05:40:01
12726,714876,13,43607837,76',Robbie Leitch (Clyde) Substitution at 76',2024-08-25 05:40:01
12726,714876,14,43607838,77',Dean Watson (Bonnyrigg Rose) Substitution at 77',2024-08-25 05:40:01
12726,714876,15,43608037,83',Craig Howie (Clyde) Yellow Card at 83',2024-08-25 05:40:01
12726,714877,0,43604876,11',Innes Lawson (Edinburgh City) Goal at 11',2024-08-25 05:40:01
12726,714877,1,43605073,17',Bayley Klimionek (Forfar Athletic) Yellow Card at 17',2024-08-25 05:40:01
12726,714877,2,43605074,18',Connor Young (Edinburgh City) Goal at 18',2024-08-25 05:40:01
12726,714877,3,43606448,45',Kodi Mckinstray (Edinburgh City) Substitution at 45',2024-08-25 05:40:01
12726,714877,4,43606456,45',Russell Mclean (Forfar Athletic) Substitution at 45',2024-08-25 05:40:01
12726,714877,5,43606457,45',Mark Whatley (Forfar Athletic) Substitution at 45',2024-08-25 05:40:01
12726,714877,6,43606463,45',Josh Skelly (Forfar Athletic) Substitution at 45',2024-08-25 05:40:01
12726,714877,7,43606970,60',Innes Lawson (Edinburgh City) Goal at 60',2024-08-25 05:40:01
12726,714877,8,43607681,73',Sam Gormley (Edinburgh City) Substitution at 73',2024-08-25 05:40:01
12726,714877,9,43607730,74',Connor Young (Edinburgh City) Yellow Card at 74',2024-08-25 05:40:01
12726,714877,10,43607911,77',Quinn Mitchell (Edinburgh City) Yellow Card at 77',2024-08-25 05:40:01
12726,714877,11,43607966,78',Ross MacLean (Forfar Athletic) Yellow Card at 78',2024-08-25 05:40:01
12726,714877,12,43608096,82',Shea Scally (Edinburgh City) Substitution at 82',2024-08-25 05:40:01
12726,714877,13,43608285,86',Callum Waller (Edinburgh City) Substitution at 86',2024-08-25 05:40:01
12726,714877,14,43608286,87',Sam Gormley (Edinburgh City) Yellow Card at 87',2024-08-25 05:40:01
12726,714877,15,43608332,87',Kieran Inglis (Forfar Athletic) Substitution at 87',2024-08-25 05:40:01
12726,714878,0,43604985,12',Stewart Murdoch (East Fife) Yellow Card at 12',2024-08-25 05:40:01
12726,714878,1,43605772,40',Nathan Austin (East Fife) Goal at 40',2024-08-25 05:40:01
12726,714878,2,43605916,43',Reis Peggie (East Fife) Goal at 43',2024-08-25 05:40:01
12726,714878,3,43606394,45',Sean Docherty (East Fife) Substitution at 45',2024-08-25 05:40:01
12726,714878,4,43606559,52',Nathan Austin (East Fife) Goal at 52',2024-08-25 05:40:01
12726,714878,5,43607022,60',Cameron Mckinlay (Stirling Albion) Substitution at 60',2024-08-25 05:40:01
12726,714878,6,43607023,60',Cooper Knox (Stirling Albion) Substitution at 60',2024-08-25 05:40:01
12726,714878,7,43607283,65',Dale Carrick (Stirling Albion) Yellow Card at 65',2024-08-25 05:40:01
12726,714878,8,43607889,75',Patrick Slattery (East Fife) Substitution at 75',2024-08-25 05:40:01
12726,714878,9,43607890,76',Scott Shepherd (East Fife) Substitution at 76',2024-08-25 05:40:01
12726,714878,10,43607891,76',Adam Laaref (East Fife) Substitution at 76',2024-08-25 05:40:01
12726,714878,11,43607892,76',Conor McManus (East Fife) Substitution at 76',2024-08-25 05:40:01
12726,714878,12,43608010,79',Joshua Kerr (Stirling Albion) Yellow Card at 79',2024-08-25 05:40:01
12726,714878,13,43608011,79',Ross Davidson (Stirling Albion) Substitution at 79',2024-08-25 05:40:01
12726,714878,14,43608012,79',Lewis Milne (Stirling Albion) Substitution at 79',2024-08-25 05:40:01
12726,714878,15,43608071,80',Patrick Slattery (East Fife) Yellow Card at 80',2024-08-25 05:40:01
12726,714878,16,43608183,84',Nathan Austin (East Fife) Goal at 84',2024-08-25 05:40:01
12726,714878,17,43608539,90'+2',Bailey Dall (Stirling Albion) Yellow Card at 92',2024-08-25 05:40:01
12726,714879,0,43605554,34',Kirk Mcknight (Stranraer) Substitution at 34',2024-08-25 05:40:01
12726,714879,1,43607402,69',Adam Cummins (Stranraer) Yellow Card at 69',2024-08-25 05:40:01
12726,714879,2,43607403,69',Deryn Lang (Stranraer) Substitution at 69',2024-08-25 05:40:01
12726,714879,3,43607929,78',Ryan Macleman (Elgin City) Substitution at 78',2024-08-25 05:40:01
12726,714879,4,43607930,78',Owen Cairns (Elgin City) Substitution at 78',2024-08-25 05:40:01
12726,714879,5,43607931,78',Ryan Sargent (Elgin City) Substitution at 78',2024-08-25 05:40:01
12726,714879,6,43607932,79',Matthew Grant (Stranraer) Substitution at 79',2024-08-25 05:40:01
12726,714879,7,43607933,79',Scott Robertson (Stranraer) Substitution at 79',2024-08-25 05:40:01
